bioID,useFirst,firstName,middleName,lastName,nameGiven,fullGivenName,nameSuffix,nameNick,pos,firstseason,lastseason,height,weight,college,collegeOther,birthDate,birthCity,birthState,birthCountry,highSchool,hsCity,hsState,hsCountry,deathDate,race
bioID,bioID,firstName,middleName,lastName,nameGiven,fullGivenName,nameSuffix,nameNick,pos,0,0,0,0,college,collegeOther,0000-00-00,birthCity,birthState,birthCountry,highSchool,hsCity,hsState,hsCountry,0000-00-00,r
abdelal01,Alaa,Alaa,,Abdelnaby,,,,,F-C,0,0,82,240,Duke,,6/24/1968,Cairo,,EGY,Bloomfield Senior,Bloomfield,NJ,USA,0000-00-00,B
abdulka01,Kareem,Kareem,,Abdul-Jabbar,,"Ferdinand Lewis Alcindor, Jr.",,"Lew, Cap",C,0,0,85,225,UCLA,,4/16/1947,New York,NY,USA,Power Memorial,New York,NY,USA,0000-00-00,B
abdulma01,Mahdi,Mahdi,,Abdul-Rahman,,"Walter Raphael Hazzard, Jr.",,Walt,G,0,0,74,185,UCLA,Santa Monica City,4/15/1942,Wilmington,DE,USA,Overbrook / Moton,Philadelphia / Easton,PA / MD,USA,11/18/2011,B
abdulma02,Mahmoud,Mahmoud,,Abdul-Rauf,,Chris Wayne Jackson,,,G,0,0,73,162,Louisiana State,,3/9/1969,Gulfport,MS,USA,Gulfport,Gulfport,MS,USA,0000-00-00,B
abdulta01,Tariq,Tariq,,Abdul-Wahad,,Olivier Michael Saint-Jean,,,G-F,0,0,78,223,San Jose State,Michigan,11/3/1974,Maisons Alfort,,FRA,Lycee Aristide Briand,Evreux,,FRA,0000-00-00,B
abdulza01,Zaid,Zaid,,Abdul-Aziz,,Donald A. Smith,,"Don, The Kangaroo",C-F,0,0,81,230,Iowa State,,4/7/1946,Brooklyn,NY,USA,John Jay,Brooklyn,NY,USA,0000-00-00,B
ablefo01,Forest,Forest,Edward,Able,,,,Frosty,G,0,0,75,180,Western Kentucky,Louisville,7/27/1932,,,,Fairdale,Louisville,KY,USA,0000-00-00,W
abramjo01,John,John,,Abramovic,,,Jr.,Brooms,F,0,0,75,195,Salem,,2/9/1919,Etna,PA,USA,Etna,Etna,PA,USA,6/9/2000,W
ackeral01,Alex,Alex,,Acker,,,,,G,0,0,77,185,Pepperdine,,1/21/1983,Compton,CA,USA,Eisenhower / Cajon,Rialto / San Bernadino,CA,USA,0000-00-00,B
acresma01,Mark,Mark,Richard,Acres,,,,,F-C,0,0,83,220,Oral Roberts,,11/15/1962,Inglewood,CA,USA,Palos Verdes,Palos Verdes Estates,CA,USA,0000-00-00,W
adamsal01,Alvan,Alvan,Leigh,Adams,,,,"Double A, The Oklahoma Kid",C-F,0,0,81,210,Oklahoma,,7/19/1954,Lawrence,KS,USA,Putnam City,Putnam City,OK,USA,0000-00-00,W
adamsge01,George,George,,Adams,,,,,F-G,0,0,77,210,Gardner-Webb,,5/15/1949,Kings Mountain,NC,USA,Kings Mountain,Kings Mountain,NC,USA,0000-00-00,B
adamsha01,Hassan,Hassan,Olawale,Adams,,,,,G,0,0,76,220,Arizona,,6/20/1984,Inglewood,CA,USA,Westchester,Los Angeles,CA,USA,0000-00-00,B
adamsmi01,Michael,Michael,,Adams,,,,,G,0,0,70,162,Boston College,,1/19/1963,Hartford,CT,USA,Hartford Public,Hartford,CT,USA,0000-00-00,B
addisra01,Rafael,Rafael,,Addison,,,,,F-G,0,0,79,215,Syracuse,,7/22/1964,Jersey City,NJ,USA,Snyder,Jersey City,NJ,USA,0000-00-00,B
adrieje01,Jeff,Jeff,,Adrien,,,,,F,0,0,79,243,Connecticut,,2/10/1986,Brookline,MA,USA,Brookline/Brewster Academy,Brookline/ Wolfeboro,MA/NH,USA,0000-00-00,B
agerma01,Maurice,Maurice,Darnell,Ager,,,,,G,0,0,77,202,Michigan State,,2/9/1984,Detroit,MI,USA,Crocket,Detroit,MI,USA,0000-00-00,B
aguirma01,Mark,Mark,Anthony,Aguirre,,,,,F-G,0,0,78,232,DePaul,,12/10/1959,Chicago,IL,USA,Austin / Westinghouse Voc.,Chicago,IL,USA,0000-00-00,B
akinhe01,Henry,Henry,T.,Akin,,,,,C-F,0,0,82,225,Morehead State,William Carey (DNP),7/31/1944,Detroit,MI,USA,Troy,Troy,MI,USA,0000-00-00,W
alarima01,Mark,Mark,Steven,Alarie,,,,,F,0,0,80,217,Duke,,12/11/1963,Phoenix,AZ,USA,Brophy Prep,Phoenix,AZ,USA,0000-00-00,W
alcorga01,Gary,Gary,R.,Alcorn,,,,,C,0,0,81,225,Fresno State,Fresno City,10/8/1936,,,,Roosevelt,Fresno,CA,USA,11/29/2006,W
aldrico01,Cole,Cole,David,Aldrich,,,,,C,0,0,83,245,Kansas,,10/31/1988,Burnsville,MN,USA,Jefferson,Bloomington,MN,USA,0000-00-00,W
aldrila01,LaMarcus,LaMarcus,Nurae,Aldridge,,,,,F,0,0,83,240,Texas,,7/19/1985,Dallas,TX,USA,Seagoville,Dallas,TX,USA,0000-00-00,B
alexaco01,Cory,Cory,Lynn,Alexander,,,,,G,0,0,73,185,Virginia,,6/22/1973,Waynesboro,VA,USA,Oak Hill Academy,Mouth of Wilson,VA,USA,0000-00-00,B
alexaco02,Courtney,Courtney,Jason,Alexander,,,,,G,0,0,77,205,Fresno State,Virginia,4/27/1977,Bridgeport,CT,USA,Jordan,Durham,NC,USA,0000-00-00,B
alexaga01,Gary,Gary,R.,Alexander,,,,,F,0,0,79,240,Jacksonville,,11/1/1969,Jacksonville,FL,USA,William M. Raines,Jacksonville,FL,USA,0000-00-00,B
alexavi01,Victor,Victor,Joe,Alexander,,,,,C-F,0,0,81,265,Iowa State,,8/31/1969,Detroit,MI,USA,Denby,Detroit,MI,USA,0000-00-00,B
allenje01,Jerome,Jerome,Byron,Allen,,,,,G,0,0,76,184,Pennsylvania,,1/28/1973,Philadelphia,PA,USA,Episcopal Academy,Merion Station,PA,USA,0000-00-00,B
allenla01,Lavoy,Lavoy,,Allen,,,,,F,0,0,81,225,Temple,,2/4/1989,Trenton,NJ,USA,Pennsbury,Fairless Hills,PA,USA,0000-00-00,B
allenlu01,Lucius,Lucius,Oliver,Allen,,,Jr.,,G,0,0,74,175,UCLA,,9/26/1947,Kansas City,KS,USA,Wyandotte,Kansas City,KS,USA,0000-00-00,B
allenma01,Malik,Malik,,Allen,,,,,F,0,0,82,255,Villanova,,6/27/1978,Willingboro,NJ,USA,Shawnee,Medford,NJ,USA,0000-00-00,B
allenwi01,Willie,Willie,,Allen,,,,,F,0,0,78,230,Miami (FL),,2/8/1949,,,,Richard Montgomery,Rockville,MD,USA,0000-00-00,B
allisod01,Odis,Odis,,Allison,,,Jr.,,F,0,0,78,195,UNLV,Laney JC,10/2/1949,,,,McClymonds,Oakland,CA,USA,0000-00-00,B
allrela01,Lance,Lance,Collin,Allred,,,,,C,0,0,83,250,Weber State,Utah,2/2/1981,Salt Lake City,UT,USA,East,Salt Lake City,UT,USA,0000-00-00,W
allumda01,Darrell,Darrell,Wilbert,Allums,,,Jr.,,F,0,0,80.5,220,UCLA,,9/12/1958,Los Angeles,CA,USA,Lynwood,Lynwood,CA,USA,0000-00-00,B
almonmo01,Morris,Morris,,Almond,,,,,G,0,0,78,215,Rice,,2/2/1985,Dalton,GA,USA,McEachern,Powder Springs,GA,USA,0000-00-00,B
alstode01,Derrick,Derrick,Samuel,Alston,,,,,F,0,0,83,225,Duquesne,,8/20/1972,Bronx,NY,USA,Hoboken,Hoboken,NJ,USA,0000-00-00,B
alstora01,Rafer,Rafer,Jamel,Alston,,,,Skip to my Lou,G,0,0,74,171,Fresno State,Ventura JC / Fresno CC,7/24/1976,New York,NY,USA,Benjamin Cardozo,Bayside,NY,USA,0000-00-00,B
alumape01,Peter,Peter,,Aluma,,,,,C,0,0,82,260,Liberty,,4/23/1973,"Agbe, Lagos",,NGR,Okota Grammar School,Isolo,,NGR,0000-00-00,B
amaecjo01,John,John,Ekwugha,Amaechi,,,,,C-F,0,0,81,270,Penn State,Vanderbilt,11/26/1970,Boston,MA,USA,St. John's,Toledo,OH,USA,0000-00-00,B
amayaas01,Ashraf,Ashraf,,Amaya,,,,Andrew,F,0,0,79,230,Southern Illinois,,11/23/1971,Oak Park,IL,USA,Walter Lutheran,Melrose Park,IL,USA,0000-00-00,B
aminual01,Al-Farouq,Al-Farouq,,Aminu,,,,,F,0,0,81,215,Wake Forest,,9/21/1990,Atlanta,GA,USA,Norcross,Norcross,GA,USA,0000-00-00,B
